,0,1,2,3,4,5,6,7,8,9
0,lr,b_sz,# lyrs,dropout,nhid,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.001,16,2,0.7,2048,1.15,0.84,0.26,0.58,0.58
2,0.0001,4,6,0.7,2048,1.12,0.81,0.28,0.58,0.57
3,0.01,1,4,0.7,2048,2.02,1.23,-0.30,0.03,0.04
4,0.0001,1,5,0,512,1.17,0.85,0.25,0.63,0.64
5,0.1,4,4,0.9,1024,1.65,1.10,-0.06,-0.00,-0.01
6,0.0001,64,6,0.3,512,1.06,0.80,0.32,0.65,0.64
7,0.0001,1,1,0.5,1024,1.13,0.84,0.27,0.61,0.61
8,0.001,1,3,0.3,1024,1.66,1.14,-0.07,-0.03,-0.04
9,0.001,4,1,0,2048,0.98,0.77,0.37,0.66,0.65
10,0.1,4,2,0.5,1024,1.90,1.20,-0.22,0.02,0.00
