,0,1,2,3,4,5,6,7,8
0,lr,b_sz,# lyrs,dropout,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.01,64,3,0.1,0.10,0.19,-0.00,0.03,0.03
2,0.001,1,6,0,0.10,0.19,-0.00,-0.00,-0.02
3,0.001,64,5,0.2,0.10,0.20,-0.03,-0.04,-0.02
4,0.001,4,2,0,0.10,0.19,-0.02,0.14,0.26
5,0.1,64,5,0.1,0.10,0.20,-0.02,-0.02,-0.01
6,0.1,4,5,0.2,0.14,0.28,-0.46,-0.02,-0.04
7,0.0001,16,6,0,0.10,0.19,-0.02,0.20,0.27
8,0.0001,4,3,0,0.10,0.18,-0.01,0.19,0.31
9,0.001,4,6,0,0.10,0.19,-0.00,-0.04,-0.02
10,0.0001,16,5,0.3,0.10,0.20,-0.06,-0.07,-0.04
