,0,1,2,3,4,5,6
0,lr,b_sz,val_mse,val_mae,val_r2,val_pcc,val_spc
1,0.1,64,-9.00,-9.00,-9.00,-9.00,nan
2,0.001,64,7441.46,52.82,0.00,0.11,0.12
3,0.001,64,7441.46,52.82,0.00,0.11,0.12
4,0.0001,4,7443.76,52.83,0.00,0.09,0.09
5,0.1,4,-9.00,-9.00,-9.00,-9.00,nan
6,0.01,16,7443.86,53.09,0.00,0.04,0.02
7,0.0001,64,7439.80,52.80,0.00,0.14,0.15
8,1e-05,4,7437.85,52.79,0.00,0.15,0.16
9,0.0001,1,7451.22,52.95,0.00,0.02,0.01
10,1e-05,1,7439.24,52.81,0.00,0.12,0.14
11,0.0001,1,7393.60,53.29,0.01,0.09,0.11
12,0.01,16,7475.39,54.23,-0.00,0.05,0.06
13,1e-05,16,7431.42,52.78,0.00,0.10,0.14
14,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
15,0.001,4,7417.92,53.57,0.00,0.08,0.09
16,0.0001,4,7383.07,53.20,0.01,0.10,0.12
17,1e-05,64,7448.37,52.82,0.00,0.06,0.10
18,0.001,1,7500.47,54.36,-0.01,0.04,0.05
19,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
20,0.01,4,7636.27,55.66,-0.02,0.02,0.02
21,0.1,64,-9.00,-9.00,-9.00,-9.00,nan
22,0.001,64,7441.46,52.82,0.00,0.11,0.12
23,0.001,64,7441.46,52.82,0.00,0.11,0.12
24,0.0001,4,7443.76,52.83,0.00,0.09,0.09
25,0.1,4,-9.00,-9.00,-9.00,-9.00,nan
26,0.01,16,7443.86,53.09,0.00,0.04,0.02
27,0.0001,64,7439.80,52.80,0.00,0.14,0.15
28,1e-05,4,7437.85,52.79,0.00,0.15,0.16
29,0.0001,1,7451.22,52.95,0.00,0.02,0.01
30,1e-05,1,7439.24,52.81,0.00,0.12,0.14
31,0.0001,1,7393.60,53.29,0.01,0.09,0.11
32,0.01,16,7475.39,54.23,-0.00,0.05,0.06
33,1e-05,16,7431.42,52.78,0.00,0.10,0.14
34,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
35,0.001,4,7417.92,53.57,0.00,0.08,0.09
36,0.0001,4,7383.07,53.20,0.01,0.10,0.12
37,1e-05,64,7448.37,52.82,0.00,0.06,0.10
38,0.001,1,7500.47,54.36,-0.01,0.04,0.05
39,0.1,1,-9.00,-9.00,-9.00,-9.00,nan
40,0.01,4,7636.27,55.66,-0.02,0.02,0.02
